"dataset","preprocess","labels","method","ar","r","fm","afm","mi","nmi","ami"
"graves/dense","robuststd","labels0","GIc_A5_TC3:M25",0.9020088130200377,0.9510050251256281,0.9508204281320367,0.9020102420155666,0.5926390375321438,0.8557693561998526,0.8552428154830698
"graves/dense","robuststd","labels0","GIc_A5_TC11:M25",0.9020088130200377,0.9510050251256281,0.9508204281320367,0.9020102420155666,0.5926390375321438,0.8557693561998526,0.8552428154830698
"graves/dense","robuststd","labels0","GIc_A1_TC3:M25",0.6222856424402444,0.8111055276381909,0.8144811690180798,0.6225862206122267,0.41395384942892205,0.6069351387610009,0.6054773910106629
"graves/dense","robuststd","labels0","GIc_A1_TC11:M25",0.6222856424402444,0.8111055276381909,0.8144811690180798,0.6225862206122267,0.41395384942892205,0.6069351387610009,0.6054773910106629
"graves/dense","robuststd","labels0","GIc_A0_TC3:M25",0.6222856424402444,0.8111055276381909,0.8144811690180798,0.6225862206122267,0.41395384942892205,0.6069351387610009,0.6054773910106629
"graves/dense","robuststd","labels0","GIc_A0_TC11:M25",0.6222856424402444,0.8111055276381909,0.8144811690180798,0.6225862206122267,0.41395384942892205,0.6069351387610009,0.6054773910106629
"graves/dense","robuststd","labels0","GIc_A0_TC0:M25",0.8830130665610783,0.9415075376884422,0.9412598950343315,0.8830136398134176,0.5650885782396013,0.8157213499575037,0.8150488322800239
"graves/dense","robuststd","labels0","GIc_A5_TC3:M15",0.9406017851434009,0.9703015075376884,0.9701651766130178,0.9406019784222335,0.6253260289457502,0.9024477451551778,0.902091824894345
"graves/dense","robuststd","labels0","GIc_A5_TC11:M15",0.9406017851434009,0.9703015075376884,0.9701651766130178,0.9406019784222335,0.6253260289457502,0.9024477451551778,0.902091824894345
"graves/dense","robuststd","labels0","GIc_A1_TC3:M15",0.8830142482257899,0.9415075376884422,0.9413203645373472,0.8830171473738209,0.577862337751437,0.8347636587075121,0.8341601851561745
"graves/dense","robuststd","labels0","GIc_A1_TC11:M15",0.8830142482257899,0.9415075376884422,0.9413203645373472,0.8830171473738209,0.577862337751437,0.8347636587075121,0.8341601851561745
"graves/dense","robuststd","labels0","GIc_A0_TC3:M15",0.8830142482257899,0.9415075376884422,0.9413203645373472,0.8830171473738209,0.577862337751437,0.8347636587075121,0.8341601851561745
"graves/dense","robuststd","labels0","GIc_A0_TC11:M15",0.8830142482257899,0.9415075376884422,0.9413203645373472,0.8830171473738209,0.577862337751437,0.8347636587075121,0.8341601851561745
"graves/dense","robuststd","labels0","GIc_A0_TC0:M15",0.7211098939891852,0.8605527638190955,0.8604266373334837,0.7211218526457968,0.4382581155417483,0.6341278967128471,0.6327894142458342
"graves/dense","robuststd","labels0","GIc_A5_TC3:M9",0.9406017851434009,0.9703015075376884,0.9701651766130178,0.9406019784222335,0.6253260289457502,0.9024477451551778,0.902091824894345
"graves/dense","robuststd","labels0","GIc_A5_TC11:M9",0.9406017851434009,0.9703015075376884,0.9701651766130178,0.9406019784222335,0.6253260289457502,0.9024477451551778,0.902091824894345
"graves/dense","robuststd","labels0","GIc_A1_TC3:M9",0.9212046771339222,0.9606030150753769,0.9604363243777287,0.9212052751802662,0.6083748932228749,0.8782063702756282,0.8777618892194929
